block,line,page,text,word_no,x0,x1,y0,y1
5,3,2,Un,7,190.95822143554688,202.79322814941406,728.3159790039062,739.5929565429688
5,3,2,bocado,8,204.62022399902344,235.58023071289062,728.3159790039062,739.5929565429688
5,3,2,que,9,237.4072265625,253.1032257080078,728.3159790039062,739.5929565429688
5,3,2,conecta,10,254.9302215576172,288.0313415527344,728.3159790039062,739.5929565429688
5,3,2,con,11,289.85833740234375,305.2132263183594,728.3159790039062,739.5929565429688
5,3,2,la,12,307.04022216796875,313.88922119140625,728.3159790039062,739.5929565429688
5,3,2,tradición,13,315.7162170410156,351.75225830078125,728.3159790039062,739.5929565429688
5,3,2,de,14,353.5792541503906,363.9562683105469,728.3159790039062,739.5929565429688
5,3,2,las,15,365.78326416015625,377.0422668457031,728.3159790039062,739.5929565429688
5,3,2,familias,16,378.8692626953125,410.3332824707031,728.3159790039062,739.5929565429688
5,3,2,Venezolanas,17,411.90289306640625,463.2029724121094,728.3159790039062,739.5929565429688
5,3,2,y,18,465.02996826171875,469.88995361328125,728.3159790039062,739.5929565429688
5,3,2,conquista,19,471.7169494628906,512.3339233398438,728.3159790039062,739.5929565429688
5,4,2,a,0,63.761199951171875,68.51319885253906,739.1160278320312,750.3930053710938
5,4,2,cualquiera,1,70.71820068359375,113.01820373535156,739.1160278320312,750.3930053710938
5,4,2,en,2,115.22320556640625,125.60021209716797,739.1160278320312,750.3930053710938
5,4,2,la,3,127.80521392822266,134.6542205810547,739.1160278320312,750.3930053710938
5,4,2,primera,4,136.85922241210938,168.6562042236328,739.1160278320312,750.3930053710938
5,4,2,mordida.,5,170.8612060546875,208.01321411132812,739.1160278320312,750.3930053710938
6,0,2,AREPA,0,42.83399963378906,81.34200286865234,318.1372985839844,333.34130859375
6,0,2,VEGETARIANA,1,83.8740005493164,167.22598266601562,318.1372985839844,333.34130859375
6,0,2,"c6,000",2,170.1060028076172,209.4180145263672,318.1372985839844,333.34130859375
7,0,2,AREPA,0,42.83399963378906,81.34200286865234,57.497314453125,72.70130920410156
7,0,2,GRANDE,1,84.22200012207031,134.6088104248047,57.497314453125,72.70130920410156
7,0,2,LLANERA,2,137.4888153076172,192.0780029296875,57.497314453125,72.70130920410156
7,0,2,"c6,500",3,197.8380126953125,235.32601928710938,57.497314453125,72.70130920410156
7,1,2,Deliciosa,0,41.59769821166992,83.48770141601562,73.36856842041016,85.96857452392578
7,1,2,Arepa,1,87.54769897460938,114.97769165039062,73.36856842041016,85.96857452392578
7,1,2,rellena,2,119.03768920898438,150.04669189453125,73.36856842041016,85.96857452392578
7,1,2,de,3,154.106689453125,165.70669555664062,73.36856842041016,85.96857452392578
7,1,2,carne,4,169.76669311523438,195.36669921875,73.36856842041016,85.96857452392578
7,1,2,a,5,199.42669677734375,204.7467041015625,73.36856842041016,85.96857452392578
7,1,2,la,6,208.80670166015625,216.60670471191406,73.36856842041016,85.96857452392578
7,1,2,"parrilla,",7,220.6667022705078,254.97669982910156,73.36856842041016,85.96857452392578
7,1,2,queso,8,259.0367126464844,287.646728515625,73.36856842041016,85.96857452392578
7,2,2,"frito,",0,41.59769821166992,63.847694396972656,84.36856842041016,96.96857452392578
7,2,2,"aguacate,",1,66.26769256591797,111.4966812133789,84.36856842041016,96.96857452392578
7,2,2,acompañada,2,113.91667938232422,173.3756866455078,84.36856842041016,96.96857452392578
7,2,2,de,3,175.79568481445312,187.39569091796875,84.36856842041016,96.96857452392578
7,2,2,2,4,189.81568908691406,195.43568420410156,84.36856842041016,96.96857452392578
7,2,2,Tequeños,5,197.3956756591797,242.7657012939453,84.36856842041016,96.96857452392578
7,2,2,y,6,245.18569946289062,250.68569946289062,84.36856842041016,96.96857452392578
7,2,2,1,7,253.10569763183594,258.1957092285156,84.36856842041016,96.96857452392578
7,2,2,salsa.,8,260.61572265625,286.6557312011719,84.36856842041016,96.96857452392578
8,0,2,AREPA,0,42.83399963378906,81.34200286865234,107.65679931640625,122.86079406738281
8,0,2,GRANDE,1,84.22200012207031,134.6088104248047,107.65679931640625,122.86079406738281
8,0,2,DE,2,137.4888153076172,153.02880859375,107.65679931640625,122.86079406738281
8,0,2,REINA,3,155.9088134765625,191.70480346679688,107.65679931640625,122.86079406738281
8,0,2,PEPIADA,4,194.58480834960938,245.54759216308594,107.65679931640625,122.86079406738281
8,0,2,"c6,500",5,251.30760192871094,289.99560546875,107.65679931640625,122.86079406738281
8,1,2,Deliciosa,0,41.599098205566406,83.48909759521484,123.5287857055664,136.1287841796875
8,1,2,Arepa,1,87.00909423828125,114.4380874633789,123.5287857055664,136.1287841796875
8,1,2,rellena,2,117.95808410644531,148.96807861328125,123.5287857055664,136.1287841796875
8,1,2,de,3,152.4880828857422,164.0880889892578,123.5287857055664,136.1287841796875
8,1,2,una,4,167.60809326171875,184.76809692382812,123.5287857055664,136.1287841796875
8,1,2,mezcla,5,188.28810119628906,220.42710876464844,123.5287857055664,136.1287841796875
8,1,2,de,6,223.94711303710938,235.547119140625,123.5287857055664,136.1287841796875
8,1,2,pollo,7,239.06712341308594,262.1771240234375,123.5287857055664,136.1287841796875
8,2,2,mechado,0,41.599098205566406,84.8291015625,134.52879333496094,147.1287841796875
8,2,2,con,1,86.78910064697266,103.819091796875,134.52879333496094,147.1287841796875
8,2,2,aguacate,2,105.77909088134766,148.06910705566406,134.52879333496094,147.1287841796875
8,2,2,y,3,150.0290985107422,155.5290985107422,134.52879333496094,147.1287841796875
8,2,2,"especies,",4,157.4890899658203,200.7891082763672,134.52879333496094,147.1287841796875
8,2,2,acompañada,5,202.7490997314453,262.2091064453125,134.52879333496094,147.1287841796875
8,3,2,de,0,41.599098205566406,53.199100494384766,145.52879333496094,158.1287841796875
8,3,2,2,1,55.619102478027344,61.23910140991211,145.52879333496094,158.1287841796875
8,3,2,Tequeños,2,63.19910430908203,108.569091796875,145.52879333496094,158.1287841796875
8,3,2,y,3,110.98908996582031,116.48908996582031,145.52879333496094,158.1287841796875
8,3,2,1,4,118.90908813476562,123.99908447265625,145.52879333496094,158.1287841796875
8,3,2,salsa.,5,126.41908264160156,152.4591064453125,145.52879333496094,158.1287841796875
